ticker,price_column_used,min_price,max_price,total_volume,n_days,avg_volume_per_day
A,close,63.27000045776367,179.27999877929688,2308661837.0,1257,1836644.261734288
AA,close,5.480000019073486,95.05999755859376,7760893800.0,1257,6174139.856801909
AAL,close,9.039999961853027,36.93000030517578,44471418500.0,1257,35379012.3309467
AAME,close,1.5,6.53000020980835,183594200.0,1257,146057.4383452665
AAOI,close,1.5,23.190000534057617,1182039400.0,1257,940365.4733492442
AAON,close,31.953332901000977,74.2300033569336,345208050.0,1257,274628.5202863962
AAP,close,48.25,241.9100036621093,1464227400.0,1257,1164858.7112171839
AAPL,close,92.61499786376952,366.5299987792969,90236976200.0,1257,71787570.56483692
AAT,close,16.479999542236328,48.959999084472656,425941200.0,1257,338855.36992840096
AB,close,14.65999984741211,56.86000061035156,445180400.0,1257,354161.0182975338
ABBV,close,62.97999954223633,174.9600067138672,9077972500.0,1257,7221935.163086714
ABCB,close,18.520000457763672,58.52000045776367,512279300.0,1257,407541.2092283214
ABEO,close,1.4500000476837158,85.5,507162780.0,1257,403470.7875894988
ABEV,close,1.940000057220459,5.400000095367432,30939647900.0,1257,24613880.588703264
ABG,close,42.09999847412109,251.19000244140625,265306800.0,1257,211063.4844868735
ABM,close,20.450000762939453,53.540000915527344,523224600.0,1257,416248.6873508353
ABR,close,4.059999942779541,20.729999542236328,2723180100.0,1257,2166412.171837709
ABT,close,62.81999969482422,141.4600067138672,7025079600.0,1257,5588766.587112172
ABUS,close,0.8700000047683716,6.199999809265137,2548924000.0,1257,2027783.6117740653
ACA,close,28.26000022888184,84.01000213623047,346477500.0,1257,275638.4248210024
ACAD,close,13.010000228881836,57.0,2033356100.0,1257,1617626.1734287988
ACB,close,0.4210000038146972,119.5199966430664,12505749700.0,1257,9948885.99840891
ACCO,close,3.890000104904175,10.3100004196167,723921400.0,1257,575912.0127287192
ACEL,close,5.599999904632568,14.550000190734863,352639700.0,1257,280540.7319013524
ACGL,close,22.239999771118164,90.0,2409976900.0,1257,1917244.9482895783
ACGLO,close,16.809999465942383,26.940000534057617,31922400.0,1257,25395.704057279236
ACHC,close,11.779999732971191,89.05999755859375,798386494.0,1257,635152.3420843277
ACIU,close,1.7200000286102295,11.68000030517578,530064300.0,1257,421689.97613365157
ACIW,close,19.75,43.09999847412109,944084800.0,1257,751061.893396977
ACLS,close,13.420000076293944,200.47999572753903,477928700.0,1257,380213.7629276054
ACM,close,23.81999969482422,93.4499969482422,1283385500.0,1257,1020990.8512330947
ACMR,close,5.960000038146973,65.88999938964844,943055900.0,1257,750243.3571996818
ACN,close,135.7899932861328,415.4200134277344,2698206400.0,1257,2146544.470962609
ACNB,close,19.350000381469727,47.59000015258789,22373900.0,1257,17799.443118536197
ACP,close,5.619999885559082,12.631579399108888,206022344.0,1257,163900.0350039777
ACRE,close,4.190000057220459,17.68000030517578,616979100.0,1257,490834.6062052506
ACTG,close,2.009999990463257,8.5,417289100.0,1257,331972.2354813047
ACU,close,14.869999885559082,46.81999969482422,14507700.0,1257,11541.527446300715
ADAP,close,0.4289999902248382,12.100000381469728,1166764900.0,1257,928213.9220365951
ADBE,close,215.6999969482422,688.3699951171875,3715753700.0,1257,2956049.0851233094
ADC,close,48.56999969482422,80.3499984741211,801322200.0,1257,637487.8281622912
ADI,close,80.7300033569336,200.8800048828125,4000435500.0,1257,3182526.2529832935
ADM,close,29.309999465942383,98.22000122070312,3811276600.0,1257,3032041.84566428
ADMA,close,1.090000033378601,5.389999866485596,3388095400.0,1257,2695382.1797931585
ADNT,close,6.53000020980835,52.93000030517578,1462831400.0,1257,1163748.1304693716
ADP,close,109.06999969482422,269.8999938964844,2352938700.0,1257,1871868.4964200477
ADSK,close,121.8499984741211,342.2699890136719,1989299900.0,1257,1582577.4860779634
ADT,close,3.7200000286102295,13.479999542236328,3610655400.0,1257,2872438.6634844868
ADTN,close,5.010000228881836,25.09000015258789,627400200.0,1257,499125.05966587114
ADUS,close,48.400001525878906,127.8000030517578,140757300.0,1257,111978.75894988066
ADVM,close,0.5400000214576721,25.63999938964844,1420471000.0,1257,1130048.5282418458
ADX,close,10.43000030517578,22.209999084472656,257470700.0,1257,204829.51471758154
ADXS,close,0.248999997973442,22.0,1383450849.0,1156,1196756.7897923875
AEE,close,61.369998931884766,98.51000213623048,1822997300.0,1257,1450276.292760541
AEG,close,1.8799999952316284,6.199999809265137,2967103700.0,1257,2360464.3595863166
AEHR,close,1.059999942779541,53.68999862670898,1357935354.0,1257,1080298.6109785202
AEIS,close,35.54999923706055,126.02999877929688,312060600.0,1257,248258.2338902148
AEM,close,36.36000061035156,86.47000122070312,2604832500.0,1257,2072261.336515513
AEO,close,6.730000019073486,37.869998931884766,6587130900.0,1257,5240358.711217184
AEP,close,70.0,105.18000030517578,3633147500.0,1257,2890332.140015911
AER,close,15.140000343322754,74.94000244140625,1692378500.0,1257,1346363.1662688942
AES,close,9.5600004196167,29.270000457763672,7090009500.0,1257,5640421.2410501195
AEYE,close,2.3399999141693115,43.66999816894531,74250600.0,1257,59069.689737470166
AFB,close,9.029999732971191,15.25,82881800.0,1257,65936.19729514717
AFG,close,46.97999954223633,150.22000122070312,521099800.0,1257,414558.31344470964
AFL,close,25.270000457763672,84.3499984741211,3929976600.0,1257,3126473.031026253
AFMD,close,0.31700000166893,11.399999618530272,1611673600.0,1257,1282158.7907716786
AG,close,4.449999809265137,22.1200008392334,6949071700.0,1257,5528298.886237073
AGCO,close,36.970001220703125,156.60000610351562,780679800.0,1257,621065.8711217184
