ticker,price_column_used,min_price,max_price,total_volume,n_days,avg_volume_per_day
A,adj close,62.57524871826172,176.66944885253906,2308661837.0,1257,1836644.261734288
AA,adj close,5.480000019073486,93.35308837890624,7760893800.0,1257,6174139.856801909
AAL,adj close,9.039999961853027,36.44142532348633,44471418500.0,1257,35379012.3309467
AAOI,adj close,1.5,23.190000534057617,1182039400.0,1257,940365.4733492442
AAON,adj close,31.44083023071289,74.2300033569336,345208050.0,1257,274628.5202863962
AAP,adj close,48.25,228.43511962890625,1464227400.0,1257,1164858.7112171839
AAPL,adj close,90.6874542236328,366.5299987792969,90236976200.0,1257,71787570.56483692
AAT,adj close,15.701388359069824,48.273414611816406,425941200.0,1257,338855.36992840096
AB,adj close,14.65999984741211,48.08174896240234,445180400.0,1257,354161.0182975338
ABBV,adj close,60.35731506347656,163.5398406982422,9077972500.0,1257,7221935.163086714
ABCB,adj close,18.38945579528809,56.36617660522461,512279300.0,1257,407541.2092283214
ABEO,adj close,1.4500000476837158,85.5,507162780.0,1257,403470.7875894988
ABEV,adj close,1.7975947856903076,5.2608723640441895,30939647900.0,1257,24613880.588703264
ABG,adj close,42.09999847412109,251.19000244140625,265306800.0,1257,211063.4844868735
ABM,adj close,20.29469490051269,52.29999923706055,523224600.0,1257,416248.6873508353
ABR,adj close,4.059999942779541,16.629785537719727,2723180100.0,1257,2166412.171837709
ABT,adj close,62.81999969482422,136.39682006835938,7025079600.0,1257,5588766.587112172
ABUS,adj close,0.8700000047683716,6.199999809265137,2548924000.0,1257,2027783.6117740653
ACA,adj close,27.97763061523437,84.01000213623047,346477500.0,1257,275638.4248210024
ACAD,adj close,13.010000228881836,57.0,2033356100.0,1257,1617626.1734287988
ACB,adj close,0.4210000038146972,119.5199966430664,12505749700.0,1257,9948885.99840891
ACCO,adj close,3.890000104904175,10.171825408935549,723921400.0,1257,575912.0127287192
ACEL,adj close,5.599999904632568,14.550000190734863,352639700.0,1257,280540.7319013524
ACGL,adj close,22.239999771118164,90.0,2409976900.0,1257,1917244.9482895783
ACGLO,adj close,16.580711364746094,25.97112274169922,31922400.0,1257,25395.704057279236
ACHC,adj close,11.779999732971191,89.05999755859375,798386494.0,1257,635152.3420843277
ACIU,adj close,1.7200000286102295,11.68000030517578,530064300.0,1257,421689.97613365157
ACIW,adj close,19.75,43.09999847412109,944084800.0,1257,751061.893396977
ACLS,adj close,13.420000076293944,200.47999572753903,477928700.0,1257,380213.7629276054
ACM,adj close,23.81999969482422,93.4499969482422,1283385500.0,1257,1020990.8512330947
ACMR,adj close,5.960000038146973,65.88999938964844,943055900.0,1257,750243.3571996818
ACN,adj close,133.58193969726562,403.4195251464844,2698206400.0,1257,2146544.470962609
ACNB,adj close,17.344863891601562,47.59000015258789,22373900.0,1257,17799.443118536197
ACP,adj close,4.991687774658203,11.371149063110352,206022344.0,1257,163900.0350039777
ACRE,adj close,3.9891438484191895,16.401874542236328,616979100.0,1257,490834.6062052506
ACTG,adj close,2.009999990463257,8.5,417289100.0,1257,331972.2354813047
ACU,adj close,14.410900115966797,44.86000061035156,14507700.0,1257,11541.527446300715
ADBE,adj close,215.6999969482422,688.3699951171875,3715753700.0,1257,2956049.0851233094
ADC,adj close,48.09350204467773,78.8388900756836,801322200.0,1257,637487.8281622912
ADI,adj close,78.67488098144531,200.8800048828125,4000435500.0,1257,3182526.2529832935
ADM,adj close,29.309999465942383,95.46022033691406,3811276600.0,1257,3032041.84566428
ADMA,adj close,1.090000033378601,5.389999866485596,3388095400.0,1257,2695382.1797931585
ADNT,adj close,6.53000020980835,52.93000030517578,1462831400.0,1257,1163748.1304693716
ADP,adj close,109.06999969482422,262.6294250488281,2352938700.0,1257,1871868.4964200477
ADSK,adj close,121.8499984741211,342.2699890136719,1989299900.0,1257,1582577.4860779634
ADT,adj close,3.7200000286102295,12.6468505859375,3610655400.0,1257,2872438.6634844868
ADTN,adj close,5.010000228881836,24.322629928588867,627400200.0,1257,499125.05966587114
ADUS,adj close,48.400001525878906,127.8000030517578,140757300.0,1257,111978.75894988066
ADX,adj close,10.43000030517578,19.1596622467041,257470700.0,1257,204829.51471758154
ADXS,adj close,0.248999997973442,22.0,1383450849.0,1156,1196756.7897923875
AEE,adj close,61.369998931884766,93.63629913330078,1822997300.0,1257,1450276.292760541
AEG,adj close,1.8799999952316284,5.809999942779541,2967103700.0,1257,2360464.3595863166
AEHR,adj close,1.059999942779541,53.68999862670898,1357935354.0,1257,1080298.6109785202
AEIS,adj close,35.54999923706055,125.78290557861328,312060600.0,1257,248258.2338902148
AEM,adj close,36.05086135864258,78.68380737304688,2604832500.0,1257,2072261.336515513
AEO,adj close,6.616037368774414,35.44613265991211,6587130900.0,1257,5240358.711217184
AEP,adj close,67.74581909179688,104.33000183105467,3633147500.0,1257,2890332.140015911
AER,adj close,15.140000343322754,74.94000244140625,1692378500.0,1257,1346363.1662688942
AES,adj close,9.5600004196167,28.34227752685547,7090009500.0,1257,5640421.2410501195
AEYE,adj close,2.3399999141693115,43.66999816894531,74250600.0,1257,59069.689737470166
AFB,adj close,8.969456672668457,14.510000228881836,82881800.0,1257,65936.19729514717
AFG,adj close,37.38074493408203,137.38633728027344,521099800.0,1257,414558.31344470964
AFL,adj close,25.270000457763672,84.3499984741211,3929976600.0,1257,3126473.031026253
AFMD,adj close,0.31700000166893,11.399999618530272,1611673600.0,1257,1282158.7907716786
AG,adj close,4.445120334625244,21.95351219177246,6949071700.0,1257,5528298.886237073
AGCO,adj close,36.970001220703125,139.20794677734375,780679800.0,1257,621065.8711217184
