ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
FXO,First Trust Financials AlphaDEX Fund,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,215,2019-01-07 00:00:00,2023-12-04 00:00:00
PEBO,Peoples Bancorp Inc.,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,215,2019-01-15 00:00:00,2023-12-15 00:00:00
BMRC,Bank of Marin Bancorp,Financial Services,Banks - Regional,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,215,2019-01-02 00:00:00,2023-12-11 00:00:00
BUSE,First Busey Corporation,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,214,2019-01-02 00:00:00,2023-12-14 00:00:00
VLUE,iShares MSCI USA Value Factor ETF,,,BTS,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,214,2019-01-08 00:00:00,2023-12-12 00:00:00
ZOM,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,213,2019-03-26 00:00:00,2023-04-27 00:00:00
VVV,Valvoline Inc.,Consumer Cyclical,Auto & Truck Dealerships,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,213,2019-01-16 00:00:00,2023-12-08 00:00:00
HRTG,"Heritage Insurance Holdings, Inc.",Financial Services,Insurance - Property & Casualty,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,213,2019-02-06 00:00:00,2023-12-16 00:00:00
CDAY,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,212,2019-01-28 00:00:00,2023-12-13 00:00:00
WLDN,"Willdan Group, Inc.",Industrials,Engineering & Construction,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,212,2019-01-28 00:00:00,2023-12-15 00:00:00
MSC,Studio City International Holdings Limited,Consumer Cyclical,Resorts & Casinos,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,212,2019-01-01 00:00:00,2023-12-14 00:00:00
ATOS,"Atossa Therapeutics, Inc.",Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2019-01-09 00:00:00,2023-12-11 00:00:00
MOFG,"MidWestOne Financial Group, Inc.",Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2019-01-17 00:00:00,2023-12-13 00:00:00
NZF,Nuveen Municipal Credit Income Fund,Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2019-01-03 00:00:00,2023-08-29 00:00:00
