ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
CVGW,"Calavo Growers, Inc.",Consumer Defensive,Food Distribution,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,238,2019-01-06,2023-12-15
CWK,Cushman & Wakefield Limited,Real Estate,Real Estate Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,238,2019-02-07,2023-12-14
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,238,2019-01-07,2023-12-13
CNTY,"Century Casinos, Inc.",Consumer Cyclical,Resorts & Casinos,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,238,2019-01-10,2023-12-11
FSI,"Flexible Solutions International, Inc.",Basic Materials,Specialty Chemicals,ASE,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,238,2019-01-03,2023-11-27
VNET,"VNET Group, Inc.",Technology,Information Technology Services,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,237,2019-01-30,2023-11-16
KMDA,Kamada Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,237,2019-01-02,2023-12-06
RLJ,RLJ Lodging Trust,Real Estate,REIT - Hotel & Motel,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,237,2019-01-02,2023-11-29
CUBE,CubeSmart,Real Estate,REIT - Industrial,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,236,2019-01-28,2023-12-13
AZZ,AZZ Inc.,Industrials,Specialty Business Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,236,2019-01-01,2023-12-16
ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,236,2019-02-06,2023-11-22
OSW,OneSpaWorld Holdings Limited,Consumer Cyclical,Leisure,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,236,2019-08-07,2023-12-03
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,235,2019-01-06,2023-12-05
CUBI,"Customers Bancorp, Inc.",Financial Services,Banks - Regional,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,234,2019-01-16,2023-12-14
OUT,OUTFRONT Media Inc.,Real Estate,REIT - Specialty,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,234,2019-01-03,2023-12-14
HALL,"Hallmark Financial Services, Inc.",Financial Services,Insurance - Property & Casualty,PNK,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,234,2019-03-05,2023-05-16
NOAH,Noah Holdings Limited,Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,234,2019-01-05,2023-11-30
EZPW,"EZCORP, Inc.",Financial Services,Credit Services,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,233,2019-01-07,2023-12-12
CAAS,"China Automotive Systems, Inc.",Consumer Cyclical,Auto Parts,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,233,2019-01-14,2023-05-12
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,233,2019-01-08,2023-12-16
RICK,"RCI Hospitality Holdings, Inc.",Consumer Cyclical,Restaurants,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,233,2019-01-02,2023-12-14
LAMR,Lamar Advertising Company,Real Estate,REIT - Specialty,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,232,2019-01-03,2023-12-16
DNN,Denison Mines Corp.,Energy,Uranium,ASE,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,232,2019-01-15,2023-12-16
MMYT,MakeMyTrip Limited,Consumer Cyclical,Travel Services,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,232,2019-01-23,2023-12-11
NPO,Enpro Inc.,Industrials,Specialty Industrial Machinery,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,232,2019-01-02,2023-11-01
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,231,2019-01-08,2023-11-28
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,231,2019-01-08,2023-12-13
ORA,"Ormat Technologies, Inc.",Utilities,Utilities - Renewable,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,231,2019-01-23,2023-12-14
VCYT,"Veracyte, Inc.",Healthcare,Diagnostics & Research,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,231,2019-01-03,2023-12-04
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,231,2019-01-10,2023-12-04
OSUR,"OraSure Technologies, Inc.",Healthcare,Medical Instruments & Supplies,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,230,2019-01-02,2023-12-15
NERV,"Minerva Neurosciences, Inc.",Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,230,2019-01-06,2023-06-29
FSTR,L.B. Foster Company,Industrials,Railroads,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,230,2019-03-06,2023-11-14
RMAX,"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,230,2019-01-12,2023-11-03
CLSK,"CleanSpark, Inc.",Financial Services,Capital Markets,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,229,2020-01-24,2023-12-15
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,ASE,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,229,2019-01-04,2023-08-12
WSBC,"WesBanco, Inc.",Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,228,2019-01-21,2023-12-12
VC,Visteon Corporation,Consumer Cyclical,Auto Parts,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,226,2019-01-09,2023-11-10
UTI,"Universal Technical Institute, Inc.",Consumer Defensive,Education & Training Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,226,2019-01-03,2023-12-06
ATHX,"Athersys, Inc.",,,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,226,2019-01-23,2023-10-17
