ticker,date,price,ret_log,excess_ret_log,y1_ex,news_n,has_news_today,finbert_score_mean,finbert_neg_share,finbert_pos_share,vader_score_mean,textblob_score_mean,sector
TSLA,2023-10-16,253.92,0.0111,0.0006,0.0037,46,1,-0.0257,0.3434,0.3177,0.6982,0.119,Consumer Cyclical
TSLA,2023-10-17,254.85,0.0037,0.0037,-0.0355,28,1,-0.0854,0.3638,0.2784,0.7029,0.1094,Consumer Cyclical
TSLA,2023-10-18,242.68,-0.0489,-0.0355,-0.0888,41,1,-0.3587,0.5249,0.1661,0.4822,0.1029,Consumer Cyclical
TSLA,2023-10-19,220.11,-0.0976,-0.0888,-0.0252,64,1,-0.3811,0.5841,0.203,0.629,0.105,Consumer Cyclical
TSLA,2023-10-20,211.99,-0.0376,-0.0252,0.0022,25,1,-0.4308,0.5995,0.1688,0.4776,0.0898,Consumer Cyclical
TSLA,2023-10-23,212.08,0.0004,0.0022,0.0132,33,1,-0.0547,0.3108,0.256,0.5223,0.1389,Consumer Cyclical
