year,beta_1sd,se_1sd,t,p_two_sided,effect_1sd_bps,n_year,baseline_year,wald_stat_interactions,p_joint_year_interactions
2019,0.009239247516232268,0.0018402043644353099,5.020772526570682,6.168490727944784e-07,92.39247516232268,930,2019,11.793337609138165,0.002748585661345526
2020,0.013809128133292197,0.0005959804660954286,23.170437487259985,9.144692632652501e-116,138.09128133292197,10099,2019,11.793337609138165,0.002748585661345526
