news_bin,beta_1sd,se_1sd,t,effect_1sd_bps,n_train
1,0.011856558738024449,0.0005602634500952563,21.16247050563193,118.56558738024448,8849
2-3,0.01597833181030399,0.0021366240535755057,7.4783075588638335,159.7833181030399,1855
4+,-0.05056015302071733,0.01008366426469556,-5.014065491820875,-505.60153020717325,325
