section,label,estimate_bps,placebo_bps,p_raw,extra,q_within_table
timing_family_cmp,Семейство legacy: основной эффект и placebo,5.28673213704896,12.32646398822582,1.2336673683667017e-30,2.3315847424617995,2.4673347367334034e-30
timing_family_cmp,Семейство clean: основной эффект и placebo,134.25301722506657,-7.520494906427407,1.2961084472623443e-121,0.05601732506182546,1.0368867578098754e-120
timing_family_cmp,Семейство after_close: основной эффект и placebo,138.94983415252608,42.829501924132074,9.587763464359051e-18,0.30823715757096815,1.2783684619145402e-17
timing_family_cmp,Семейство pre_open: основной эффект и placebo,120.630793916937,-12.136455573567428,3.6142099221339556e-81,0.1006082707366102,9.637893125690548e-81
timing_family_cmp,Семейство non_trading: основной эффект и placebo,105.9602501388827,-40.609444215775895,6.962282393317403e-05,0.38325168317882286,7.956894163791317e-05
timing_family_cmp,Семейство intraday: основной эффект и placebo,616.8333330232975,-152.67260175378883,1.9436734054106897e-106,0.24751029748261424,7.774693621642759e-106
timing_family_cmp,Семейство unknown: основной эффект и placebo,4.705269647743312,12.282112485735256,5.884247569044724e-25,2.6102887624359346,9.414796110471558e-25
clean_test_sort,Clean-спред 2023 y1_ex: Q5 - Q1,66.63624458365614,,,,
clean_test_sort,Clean-спред 2023 y2_ex: Q5 - Q1,54.793319450473945,,,,
clean_test_sort,Clean-спред 2023 y3_ex: Q5 - Q1,121.85527652828861,,,,
clean_test_sort,Clean-спред 2023 y5_ex: Q5 - Q1,42.78600255535152,,,,
H7_clean,Нестабильность по годам на clean-выборке (совместный тест),,,0.002748585661345526,,0.002748585661345526
