family,main_beta_1sd,main_se_1sd,main_t,main_p_two_sided,placebo_beta_1sd,placebo_se_1sd,placebo_t,placebo_p_two_sided,abs_placebo_over_abs_main,test_spread_q_last_minus_q1_bps,test_spread_p_two_sided,n_train_main,n_test_main,n_train_placebo,main_beta_bps,placebo_beta_bps
legacy,0.000528673213704896,4.594480631564408e-05,11.506702413171002,1.2336673683667017e-30,0.001232646398822582,4.729447009229751e-05,26.063224652205875,1.2579385099576316e-149,2.3315847424617995,10.360686789728538,7.387962361669793e-05,416657,117655,415853,5.28673213704896,12.32646398822582
clean,0.013425301722506658,0.0005653518224251635,23.746808960333343,1.2961084472623443e-121,-0.0007520494906427407,0.0004446967410252199,-1.6911513426182048,0.09083615736738739,0.05601732506182546,,,11029,414,11029,134.25301722506657,-7.520494906427407
after_close,0.013894983415252608,0.0016057896238387877,8.653053431766095,9.587763464359051e-18,0.0042829501924132075,0.001493029432986701,2.8686307836848632,0.004162372648405636,0.30823715757096815,,,2171,117,2171,138.94983415252608,42.829501924132074
pre_open,0.0120630793916937,0.0006259617031659137,19.27127383461721,3.6142099221339556e-81,-0.0012136455573567427,0.0004563845866268488,-2.6592606168556894,0.007844738234820799,0.1006082707366102,,,9243,0,9243,120.630793916937,-12.136455573567428
non_trading,0.01059602501388827,0.0026472102382479835,4.002713823327115,6.962282393317403e-05,-0.004060944421577589,0.0018980898511508557,-2.139490087424125,0.032757224253736325,0.38325168317882286,,,670,366,670,105.9602501388827,-40.609444215775895
intraday,0.06168333330232975,0.000831515932327669,74.18178161620924,1.9436734054106897e-106,-0.015267260175378883,0.0014682195592072241,-10.398485757554239,1.065729784521115e-18,0.24751029748261424,,,128,0,128,616.8333330232975,-152.67260175378883
unknown,0.0004705269647743312,4.560254916356305e-05,10.317996984920473,5.884247569044724e-25,0.0012282112485735256,4.662603506462971e-05,26.34174762814522,8.56986196078764e-153,2.6102887624359346,10.34945327872796,7.05252351135132e-05,409619,117429,408819,4.705269647743312,12.282112485735256
