horizon,h_days,beta_cum_1sd,se_cum_1sd,beta_per_day_1sd,se_per_day_1sd,t,p_two_sided
y1_ex,1,0.013425301722506658,0.0005653518224251635,0.013425301722506658,0.0005653518224251635,23.746808960333343,1.2961084472623443e-121
y2_ex,2,0.01647387912797528,0.0007363989736776686,0.00823693956398764,0.0003681994868388343,22.370861064217223,1.9149626225285727e-108
y3_ex,3,0.015709498817621514,0.0008345377292717339,0.0052364996058738384,0.000278179243090578,18.824192444037894,7.889414868046849e-78
y5_ex,5,0.012802687410751669,0.000986940498012895,0.002560537482150334,0.000197388099602579,12.972096531177499,3.350665429357293e-38
